Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17373157406;2025-05-13 14:40:10;Abonnement;Adresses IP;13-001-01-M;1 adresse IPv4 publique;217.181.129.123/32;PPARCHI;2025-05-13T12:40:10.821740;;;;0,00;0,00;PPARCHI;411PAINPARM;0,00;;;
17373175845;2025-05-13 16:45:27;Abonnement;Adresses IP;13-003-01-M;4 adresses IPv4 publiques;195.135.14.164/30;PPARCHI;2025-05-13T14:45:27.266807;;;;0,59;4,74;PPARCHI;411PAINPARM;6,17;;;
17373195418;2025-05-20 09:03:48;Abonnement;Adresses IP;13-011-01-M;1 bloc IPv6 /48;2a02:c441:a2b9::/48;NCO Services;2025-05-20T07:03:48.311638;;;;0,23;0,00;;;;;;
17373271700;2025-05-27 09:11:54;Abonnement;Adresses IP;13-010-01-M;1 bloc IPv6 /64;2a02:c441:0:c1::/64;NCO Services;2024-03-28T14:58:28.718972;;;;-0,15;0,00;;;;;;
17373294975;2025-05-27 13:44:21;Abonnement;SD-WAN;16-001-01-M;Abonnement SD-WAN;SW221104116;sorriaux.tp (site principal caché);2025-05-27T11:44:21.592000;;;;0,15;2,91;SORRIAUX TP;411SORRIAUX;3,78;;;
17373342647;2025-05-16 14:59:08;Abonnement;Licences Microsoft;09-2351-01-M;Microsoft 365 Business Basic - 1Y;2eaabca2579d45a8af695acec6044f69-refund;;2024-10-07T12:21:09.877666;;;;-1,99;-10,05;SERVICES;4111;-13,07;;;
17373347912;2025-05-28 16:45:22;Abonnement;Adresses IP;13-011-01-M;1 bloc IPv6 /48;2a02:c442:5498::/48;SERVICES;2024-12-03T14:50:25.431985;;;;-0,11;0,00;SERVICES;4111;0,00;;;
17373385907;2025-05-27 12:15:00;Abonnement;Adresses IP;13-001-01-M;1 adresse IPv4 publique;88.213.228.209/32;NCO Services;2025-03-15T19:28:43.051990;;;;-0,15;-0,30;;;;;;
17373398021;2025-05-28 16:45:21;Abonnement;Adresses IP;13-010-01-M;1 bloc IPv6 /64;2a02:c441:0:557e::/64;SERVICES;2024-12-03T14:50:23.662123;;;;-0,11;0,00;SERVICES;4111;0,00;;;
17373414368;2025-05-27 11:30:12;Abonnement;SD-WAN;16-001-01-M;Abonnement SD-WAN;SW221104119;SERVICES (site principal caché);2025-05-27T09:30:12.228000;;;;0,15;2,97;SERVICES;4111;3,86;;;
17373639918;2025-05-20 09:03:49;Abonnement;Adresses IP;13-011-01-M;1 bloc IPv6 /48;2a02:c442:fbd7::/48;NCO Services;2025-05-20T07:03:49.759067;;;;0,07;0,00;;;;;;
17373830410;2025-05-27 09:11:58;Abonnement;Adresses IP;13-011-01-M;1 bloc IPv6 /48;2a02:c441:9a::/48;NCO Services;2024-03-28T15:38:07.015129;;;;-0,15;0,00;;;;;;
17374003709;2025-05-16 14:59:08;Abonnement;Licences Microsoft;09-2351-01-M;Microsoft 365 Business Basic - 1Y;5c956098247f33c3291e8b4b2eae512a-prorata;;2025-05-16T12:59:08.088802;;;;2,49;12,57;SERVICES;4111;16,33;;;
17371496745;2025-06-01 00:00:00;Abonnement;Matériel en location;02-300-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois) - legacy;2018070543346;2018-07-09 14:28:38;8A77086FF214 - MIKROTIK;;;;1,00;5,00;;;;;;
17371498209;2025-06-01 00:00:00;Abonnement;Matériel en location;02-300-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois) - legacy;2018082745448;2018-08-28 10:25:41;8A7708AF2057 - MIKROTIK;;;;1,00;5,00;;;;;;
17371499142;2025-06-01 00:00:00;Abonnement;Matériel en location;02-215-01-Z;Routeur SDSL EFM (1p et 2p) (36 mois);2018110548715;2018-11-05 16:26:32;T1824007799194323 - ONEAccess_Networks;;;;1,00;10,00;;;;;;
17371499223;2025-06-01 00:00:00;Abonnement;Matériel en location;02-274-01-Z;ROUTEUR VDSL (36 mois);2018101647845;2018-10-22 10:17:19;CP1812SAD7B - TECHNICOLOR;;;;1,00;5,00;;;;;;
17371499245;2025-06-01 00:00:00;Abonnement;Matériel en location;02-300-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois) - legacy;2018101647845;2018-10-22 10:17:19;8A7708D9C15B - MIKROTIK;;;;1,00;5,00;;;;;;
17371499313;2025-06-01 00:00:00;Abonnement;Matériel en location;02-228-01-Z;Routeur fibre mutualisée (36 mois) - legacy;2018100247149;2018-10-04 17:10:16;8A770801EAAD - MIKROTIK;;;;1,00;5,00;;;;;;
17371501545;2025-06-01 00:00:00;Abonnement;Matériel en location;02-300-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois) - legacy;2019010452266;2019-01-14 13:27:21;8A77097A5C93 - MIKROTIK;;;;1,00;5,00;;;;;;
17371502190;2025-06-01 00:00:00;Abonnement;Matériel en location;02-215-01-Z;Routeur SDSL EFM (1p et 2p) (36 mois);2019021854728;2019-02-19 16:01:41;T1833007799196341 - ONEAccess_Networks;;;;1,00;10,00;;;;;;
17371503070;2025-06-01 00:00:00;Abonnement;Matériel en location;02-310-01-Z;Routeur 4G - Lite (36 mois);2019031156108;2019-03-25 15:48:13;86C408F7DB0F - MIKROTIK;;;;1,00;4,00;;;;;;
17371504073;2025-06-01 00:00:00;Abonnement;Matériel en location;02-234-01-Z;ROUTEUR ADSL (36 mois);2019040257472;2019-04-02 15:58:59;CP1840CZ0MY - Technicolor;;;;1,00;3,00;;;;;;
17371504101;2025-06-01 00:00:00;Abonnement;Matériel en location;02-303-01-Z;ROUTEUR FTTH (36 mois) - legacy;2019040257472;2019-04-15 15:27:15;8A770997F987 - MIKROTIK;;;;1,00;5,00;;;;;;
17371504127;2025-06-01 00:00:00;Abonnement;Matériel en location;02-303-01-Z;ROUTEUR FTTH (36 mois) - legacy;2019040257472;2019-04-15 15:27:15;8A770994A835 - MIKROTIK;;;;1,00;5,00;;;;;;
17371504150;2025-06-01 00:00:00;Abonnement;Matériel en location;02-274-01-Z;ROUTEUR VDSL (36 mois);2019040257472;2019-04-15 15:27:15;CP1847RA5UA - TECHNICOLOR;;;;1,00;5,00;;;;;;
17371505541;2025-06-01 00:00:00;Abonnement;Matériel en location;02-234-01-Z;ROUTEUR ADSL (36 mois);2019060561172;2019-06-06 11:53:12;CP1840CZ3R4 - Technicolor;;;;1,00;3,00;;;;;;
17371506256;2025-06-01 00:00:00;Abonnement;Matériel en location;02-300-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois) - legacy;2019061361679;2019-06-18 11:03:11;8A7709E2E8A9 - MIKROTIK;;;;1,00;5,00;;;;;;
17371506347;2025-06-01 00:00:00;Abonnement;Matériel en location;02-274-01-Z;ROUTEUR VDSL (36 mois);2019061361679;2019-06-18 11:03:11;CP1847RA3WQ - TECHNICOLOR;;;;1,00;5,00;;;;;;
17371506406;2025-06-01 00:00:00;Abonnement;Matériel en location;02-215-01-Z;Routeur SDSL EFM (1p et 2p) (36 mois);2019061361679;2019-06-17 09:59:38;T1919007799201490 - ONEAccess_Networks;;;;1,00;10,00;;;;;;
