Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17372447085;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-224-01-M;VDSL Dégroupage partiel 36 mois;0321106405;POMPES FUNEBRES JOLY;2018-11-19 00:00:00;;;;1,00;36,50;POMPES FUNEBRES JOLY;411JOLY;0,00;;;
17372482087;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;754385641;S.O.C.O.F.R.I.;2020-09-17 00:00:00;;;;1,00;49,00;S.O.C.O.F.R.I;411SOCOFRI;0,00;;;
17372483659;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;VIA000000013496;COMMUNE DE PREMESQUES;2020-10-13 00:00:00;;;;1,00;49,00;COMMUNE DE PREMESQUES;411PREMESQUES;0,00;;;
17372495559;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S201214_15766;CARROSSERIE LILLOISE II;2020-12-14 16:57:02;;;;1,00;39,00;CARROSSERIE LILLOISE;411CARROSLIL;0,00;CARROSSERIE LILLOISE II;411CARROSLIL2;0,00
17372496033;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S201202_36954;CARROSSERIE LILLOISE III;2020-12-02 08:38:27;;;;1,00;39,00;CARROSSERIE LILLOISE;411CARROSLIL;0,00;CARROSSERIE LILLOISE III;411CARROSLIL3;0,00
17372496169;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844016823;ACCUEIL FRATERNEL ROUBAISIEN;2020-11-06 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ARMENTIERES SCHUMAN;411AFRSCHUMAN;0,00
17372524203;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAG1LYZ;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-16 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ACCUEIl FEMMES BEAUREPAIRE;411AFRBEAUREP;0,00
17372524284;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S210726_80012;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-26 15:21:19;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ACCUEIL DE JOUR SAMAIN;411AFRSAMAIN;0,00
17372524762;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAG1LXF;ACCUEIL FRATERNEL ROUBAISIEN;2021-10-12 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ACCUEIL FEMMES NATIONS UNIES;411AFRNATIONS;0,00
17372526706;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAG1M07;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-09 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ARMENTIERES SADI CARNOT;411AFRSADICARNO;0,00
