Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17243104422;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:3E:67;;;;1,00;93,00;;;;;;
17243111002;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:34:6E;;;;1,00;86,00;;;;;;
17243111024;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-416-01-V;Yealink W73P;20250519265C048;2025-05-20T11:18:46.556805;03912710E4;;;;1,00;95,00;;;;;;
17243111444;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:3B:A6;;;;1,00;93,00;;;;;;
17243111462;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:39:8D;;;;1,00;86,00;;;;;;
17243111476;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:3B:24;;;;1,00;93,00;;;;;;
17243111495;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:3E:21;;;;1,00;86,00;;;;;;
17243112322;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:2E:D0;;;;1,00;93,00;;;;;;
17243112347;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:36:93;;;;1,00;86,00;;;;;;
17243112358;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-329-01-V;Yealink T54W (avec alimentation);20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:80:D0:16;;;;1,00;130,00;;;;;;
